UE,Éléments constitutifs,MCC 40%,Examen 60%,Moy EC,Coef,Étudiant
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,7.63,15.26,12.21,"1,00",Etudiant_12
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.8,8.59,10.67,"2,00",Etudiant_12
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.31,9.53,11.44,"1,50",Etudiant_12
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.96,7.33,9.58,"1,75",Etudiant_12
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.16,8.36,9.48,"1,00",Etudiant_12
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,7.48,13.61,11.16,"1,00",Etudiant_13
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,18.96,13.65,15.77,"2,00",Etudiant_13
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,18.6,15.98,17.03,"1,50",Etudiant_13
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.85,9.01,12.54,"1,75",Etudiant_13
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.23,14.25,15.04,"1,00",Etudiant_13
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.77,18.83,16.01,"1,00",Etudiant_14
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,18.2,10.59,13.63,"2,00",Etudiant_14
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,17.37,12.94,14.71,"1,50",Etudiant_14
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,19.0,9.69,13.41,"1,75",Etudiant_14
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.49,16.83,13.49,"1,00",Etudiant_14
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.99,12.88,15.32,"1,00",Etudiant_15
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.62,17.31,13.84,"2,00",Etudiant_15
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.57,10.75,12.68,"1,50",Etudiant_15
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.8,7.63,12.1,"1,75",Etudiant_15
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.24,15.41,15.34,"1,00",Etudiant_15
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,12.76,16.09,14.75,"1,00",Etudiant_16
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.45,9.39,11.82,"2,00",Etudiant_16
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.44,10.89,13.11,"1,50",Etudiant_16
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.7,14.45,12.15,"1,75",Etudiant_16
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.93,13.06,11.01,"1,00",Etudiant_16
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.16,8.14,12.55,"1,00",Etudiant_17
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,16.28,8.13,11.39,"2,00",Etudiant_17
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,18.28,17.33,17.71,"1,50",Etudiant_17
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,7.79,8.92,8.47,"1,75",Etudiant_17
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.48,15.42,14.25,"1,00",Etudiant_17
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.7,12.65,13.07,"1,00",Etudiant_18
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,10.22,15.04,13.11,"2,00",Etudiant_18
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,19.61,15.78,17.31,"1,50",Etudiant_18
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.63,15.47,15.53,"1,75",Etudiant_18
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.39,18.79,19.03,"1,00",Etudiant_18
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.94,15.9,13.11,"1,00",Etudiant_19
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,10.51,19.56,15.94,"2,00",Etudiant_19
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.18,9.76,11.53,"1,50",Etudiant_19
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.64,12.09,14.31,"1,75",Etudiant_19
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.26,11.16,11.6,"1,00",Etudiant_19
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,15.95,17.35,16.79,"1,00",Etudiant_20
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.62,17.79,14.12,"2,00",Etudiant_20
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.11,11.14,13.13,"1,50",Etudiant_20
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.17,16.86,16.18,"1,75",Etudiant_20
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.6,14.05,13.47,"1,00",Etudiant_20
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.6,14.7,16.26,"1,00",Etudiant_21
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,12.67,12.07,12.31,"2,00",Etudiant_21
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.75,11.02,9.71,"1,50",Etudiant_21
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.88,19.92,19.11,"1,75",Etudiant_21
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.77,11.98,14.7,"1,00",Etudiant_21
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.14,12.69,12.87,"1,00",Etudiant_22
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.42,19.31,17.75,"2,00",Etudiant_22
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.7,17.68,14.09,"1,50",Etudiant_22
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,14.38,18.38,16.78,"1,75",Etudiant_22
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,14.83,15.75,15.38,"1,00",Etudiant_22
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.05,18.74,18.46,"1,00",Etudiant_23
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.21,19.88,16.41,"2,00",Etudiant_23
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.08,17.45,14.11,"1,50",Etudiant_23
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.36,15.56,16.28,"1,75",Etudiant_23
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,13.72,10.0,11.49,"1,00",Etudiant_23
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.32,17.01,16.73,"1,00",Etudiant_24
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.49,19.76,17.65,"2,00",Etudiant_24
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,19.74,19.8,19.78,"1,50",Etudiant_24
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.89,12.97,14.14,"1,75",Etudiant_24
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,14.03,8.81,10.9,"1,00",Etudiant_24
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.17,17.67,17.87,"1,00",Etudiant_25
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,10.07,11.29,10.8,"2,00",Etudiant_25
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,10.4,8.27,9.13,"1,50",Etudiant_25
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.53,9.48,10.7,"1,75",Etudiant_25
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.86,18.13,18.82,"1,00",Etudiant_25
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.56,8.94,9.19,"1,00",Etudiant_26
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.05,11.31,10.4,"2,00",Etudiant_26
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.0,16.85,13.71,"1,50",Etudiant_26
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,11.85,9.91,10.69,"1,75",Etudiant_26
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.2,9.38,8.91,"1,00",Etudiant_26
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,15.74,10.39,12.53,"1,00",Etudiant_27
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.92,18.89,17.3,"2,00",Etudiant_27
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,11.32,18.24,15.47,"1,50",Etudiant_27
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.9,8.51,12.67,"1,75",Etudiant_27
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,17.49,12.01,14.2,"1,00",Etudiant_27
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.03,19.26,17.97,"1,00",Etudiant_28
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.23,14.69,12.11,"2,00",Etudiant_28
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.1,17.44,16.51,"1,50",Etudiant_28
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.06,7.28,7.59,"1,75",Etudiant_28
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.15,16.96,17.44,"1,00",Etudiant_28
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.74,18.05,14.32,"1,00",Etudiant_29
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,12.78,16.66,15.11,"2,00",Etudiant_29
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,12.89,17.88,15.89,"1,50",Etudiant_29
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,7.57,13.43,11.09,"1,75",Etudiant_29
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,13.83,15.43,14.79,"1,00",Etudiant_29
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.16,9.96,11.24,"1,00",Etudiant_30
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.2,18.29,13.85,"2,00",Etudiant_30
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,10.84,16.08,13.98,"1,50",Etudiant_30
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,11.26,18.11,15.37,"1,75",Etudiant_30
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.79,10.56,13.85,"1,00",Etudiant_30
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.17,13.26,12.43,"1,00",Etudiant_31
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.57,7.78,11.7,"2,00",Etudiant_31
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.16,8.04,10.89,"1,50",Etudiant_31
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.67,8.88,10.4,"1,75",Etudiant_31
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,9.45,14.04,12.21,"1,00",Etudiant_31
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.81,13.46,13.6,"1,00",Etudiant_32
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,16.4,10.49,12.85,"2,00",Etudiant_32
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.94,13.92,15.12,"1,50",Etudiant_32
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.34,12.55,14.46,"1,75",Etudiant_32
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,13.36,8.82,10.63,"1,00",Etudiant_32
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.06,12.24,12.96,"1,00",Etudiant_33
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,10.4,13.39,12.2,"2,00",Etudiant_33
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.93,19.02,18.18,"1,50",Etudiant_33
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,7.98,7.16,7.49,"1,75",Etudiant_33
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.02,15.71,12.23,"1,00",Etudiant_33
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,12.85,12.57,12.68,"1,00",Etudiant_34
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.59,9.2,11.76,"2,00",Etudiant_34
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.61,14.04,11.87,"1,50",Etudiant_34
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.81,11.98,14.71,"1,75",Etudiant_34
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,10.97,11.37,11.21,"1,00",Etudiant_34
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.16,16.54,15.59,"1,00",Etudiant_35
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.75,10.19,10.81,"2,00",Etudiant_35
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,11.72,10.03,10.71,"1,50",Etudiant_35
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,10.48,9.94,10.16,"1,75",Etudiant_35
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.78,19.0,17.71,"1,00",Etudiant_35
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,12.02,11.48,11.7,"1,00",Etudiant_36
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.44,10.59,11.73,"2,00",Etudiant_36
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,13.25,14.05,13.73,"1,50",Etudiant_36
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,9.94,13.93,12.33,"1,75",Etudiant_36
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.4,17.69,17.17,"1,00",Etudiant_36
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.84,12.85,14.45,"1,00",Etudiant_37
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.88,11.78,10.22,"2,00",Etudiant_37
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.82,11.03,12.95,"1,50",Etudiant_37
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.12,10.16,13.34,"1,75",Etudiant_37
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.45,17.8,16.86,"1,00",Etudiant_37
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.08,8.29,8.21,"1,00",Etudiant_38
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,19.52,11.09,14.46,"2,00",Etudiant_38
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.23,15.22,15.22,"1,50",Etudiant_38
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,11.7,12.82,12.37,"1,75",Etudiant_38
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.67,7.02,11.68,"1,00",Etudiant_38
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,7.07,16.93,12.99,"1,00",Etudiant_39
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.83,9.82,9.43,"2,00",Etudiant_39
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.07,14.86,11.74,"1,50",Etudiant_39
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.34,16.69,14.95,"1,75",Etudiant_39
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,14.45,19.84,17.68,"1,00",Etudiant_39
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.99,11.92,11.95,"1,00",Etudiant_40
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,19.07,18.87,18.95,"2,00",Etudiant_40
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.79,10.21,10.05,"1,50",Etudiant_40
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,16.67,15.8,16.15,"1,75",Etudiant_40
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,13.89,11.38,12.38,"1,00",Etudiant_40
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.74,14.01,16.3,"1,00",Etudiant_41
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.45,19.38,14.61,"2,00",Etudiant_41
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.51,19.63,17.98,"1,50",Etudiant_41
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.4,15.46,16.64,"1,75",Etudiant_41
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.1,17.0,13.04,"1,00",Etudiant_41
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,12.23,18.63,16.07,"1,00",Etudiant_42
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.97,12.42,14.64,"2,00",Etudiant_42
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.95,14.94,12.94,"1,50",Etudiant_42
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,9.79,15.04,12.94,"1,75",Etudiant_42
